id,name,parent_id/id,property_account_expense_categ/id,property_account_income_categ/id
cwa_module.afdeling_01,"AGF",,"voedselcoop_7301","voedselcoop_8001"
cwa_module.afdeling_02,"BROOD & BANKET",,"voedselcoop_7302","voedselcoop_8002"
cwa_module.afdeling_03,"KAAS & DELICATESSEN",,"voedselcoop_7303","voedselcoop_8003"
cwa_module.afdeling_04,"VLEES & VIS",,"voedselcoop_7304","voedselcoop_8004"
cwa_module.afdeling_05,"KOELVERS",,"voedselcoop_7305","voedselcoop_8005"
cwa_module.afdeling_06,"KRUIDENIERSWAREN",,"voedselcoop_7306","voedselcoop_8006"
cwa_module.afdeling_07,"NON-FOOD",,"voedselcoop_7307","voedselcoop_8007"
cwa_module.afdeling_08,"TRAITEUR - RESTAURANT",,"voedselcoop_7308","voedselcoop_8008"
cwa_module.afdeling_09,"STATIEGELD",,"voedselcoop_7309","voedselcoop_8009"
cwa_module.afdeling_10,"DIEPVRIES",,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_10105,"KOFFIE, CACAO, THEE",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10110,"HOUDBARE KOFFIEMELK, HOUDBARE KOFFIEROOM",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10115,SUIKER,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10120,RIJST EN DEEGWAREN HB,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10125,ONTBIJTPRODUCTEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10130,BAKPRODUCTEN EN DESSERTINGREDIËNTEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10135,"SOEPEN, BOUILLONS",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10140,"SAUZEN, MIXEN",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10145,"REFORMPRODUCTEN, DIEETPRODUCTEN",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10150,"BABYVOEDING, KINDERVOEDING",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10155,BOTERHAMBELEG,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10160,"KOEK, KOEKJES, BANKETSTUKSARTIKELEN",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10161,CHOCOLADE EN CHOCOLADEPRODUCTEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10162,SNOEP EN ZOETWAREN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10165,"ZOUTJES, ONDERLEGGERS, NOTENBARPRODUCTEN",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10170,BIEREN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10175,WIJNEN EN APERITIEVEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10180,NIET ALCOHOLHOUDENDE DRANKEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10220,RIJST EN DEEGWAREN SEMI SERS,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_10265,"ZOUTJES, ONDERLEGGERS, NOTENBARPRODUCTEN SV",cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_10280,NIET-ALCOHOLHOUDENDE DRANKEN SV,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_11105,HOUDBARE MELK,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_11110,OVERIGE HOUDBARE ZUIVEL,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_11205,EIEREN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_11210,DAGVERSE MELK,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_11215,OVERIGE DAGVERSE ZUIVEL BULK,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_11220,DAGVERSE ZUIVELSPECIALITEITEN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_11225,"GEELVETTEN, WITVETTEN",cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_11305,DIEPVRIES DESSERTS EN SAPPEN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_11310,IJS,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_12205,NEDERLANDSE KAAS UITSNIJ,cwa_module.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
cwa_module.cbl_12210,NEDERLANDSE KAAS VERPAKT,cwa_module.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
cwa_module.cbl_12215,BUITENLANDSE SPECIALITEITEN UITSNIJ,cwa_module.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
cwa_module.cbl_12220,BUITENLANDSE SPECIALITEITEN VERPAKT,cwa_module.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
cwa_module.cbl_12225,OVERIGE SOORTEN VERPAKTE KAAS,cwa_module.afdeling_03,"voedselcoop_7303","voedselcoop_8003"
cwa_module.cbl_13105,AARDAPPELPRODUCTEN,cwa_module.afdeling_01,"voedselcoop_7301","voedselcoop_8001"
cwa_module.cbl_13110,GROENTECONSERVEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_13115,VRUCHTENCONSERVEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_13205,AARDAPPELEN,cwa_module.afdeling_01,"voedselcoop_7301","voedselcoop_8001"
cwa_module.cbl_13210,AARDAPPELPRODUCTEN,cwa_module.afdeling_01,"voedselcoop_7301","voedselcoop_8001"
cwa_module.cbl_13215,VERSE GROENTEN,cwa_module.afdeling_01,"voedselcoop_7301","voedselcoop_8001"
cwa_module.cbl_13220,VERS FRUIT,cwa_module.afdeling_01,"voedselcoop_7301","voedselcoop_8001"
cwa_module.cbl_13305,DIEPVRIES AARDAPPELPRODUCTEN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_13310,GROENTEPRODUCTEN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_14105,VLEESCONSERVEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_14205,VERS VLEES,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_14210,VERS GEVOGELTE,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_14215,VERS WILD,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_14305,"DIEPVRIES VLEES, WILD EN GEVOGELTE",cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_14310,VLEESSNACKS,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_15105,VLEESWARENCONSERVEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_15205,SNIJVERSE VLEESWAREN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_15210,VERPAKTE GESNEDEN VLEESWAREN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_15215,STUKS ARTIKELEN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_15220,SALADES EN SAUZEN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_16105,HOUDBARE VISPRODUCTEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_16205,VERSE VIS,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_16210,SCHAAL- EN SCHELPDIEREN,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_16215,VERPAKTE VIS,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_16220,VERPAKTE SCHAAL- EN SCHELPDIEREN,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_16305,DIEPVRIES VIS,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_16310,DIEPVRIES SCHAAL- EN SCHELPDIEREN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_17105,HOUDBAAR BROOD,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_17110,BROODVERVANGERS,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_17205,GROOT BROOD,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17210,KLEIN BROOD,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17213,HALFFABRIKAAT,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_17215,SNACKS,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17220,STOKBROOD,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_17225,SEIZOENSBROOD,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17230,GROOT GEBAK,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17235,KLEIN GEBAK,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17240,BANKET,cwa_module.afdeling_02,"voedselcoop_7302","voedselcoop_8002"
cwa_module.cbl_17305,DIEPVRIES BAKKERIJPRODUCTEN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_17310,GEBAK,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_18105,HOUDBARE MAALTIJDEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_18205,VERSE LUNCHPRODUCTEN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_18210,VERS DINERPRODUCTEN,cwa_module.afdeling_05,"voedselcoop_7305","voedselcoop_8005"
cwa_module.cbl_18305,DIEPVRIES MAALTIJDEN,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_19105,HONDENVOER,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_19110,KATTENVOER,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_19115,OVERIG VOER,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_19205,VERS DIERENVOER,cwa_module.afdeling_04,"voedselcoop_7304","voedselcoop_8004"
cwa_module.cbl_19305,DIEPVRIES DIERENVOER,cwa_module.afdeling_10,"voedselcoop_7310","voedselcoop_8010"
cwa_module.cbl_20105,TABAKSPRODUCTEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_20110,HULPMIDDELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_21105,"LICHAAMSVERZORGING, MEDISCHE VERZORGING",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_21110,PERIODEVERZORGING EN LUIERS,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_21115,SANITAIRE PAPIERWAREN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_21120,ZAKDOEKJES,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_22105,WAS- EN REINIGINGSMIDDELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_22110,POETSMIDDELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_23105,KANTOORBENODIGDHEDEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_23110,WENSKAARTEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_24105,DAGBLADEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_24110,"TIJDSCHRIFTEN, OPINIEBLADEN",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_24115,"BOEKEN, POCKETS",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_25110,HUISHOUDELIJKE WAREN EN ONDERHOUDSMATERIAAL,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_25120,BABYARTIKELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_25125,PANTY'S/NYLONS,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_25130,SFEER EN VERLICHTING,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_26105,BLOEMEN- EN PLANTVERZORGING,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_26205,VERSE BLOEMEN EN PLANTEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_27105,DIERENBENODIGDHEDEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28105,WINKELARTIKELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28110,TEXTIEL,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28115,"FOTO, AUDIO, VIDEO",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28125,DIENSTEN EN SERVICES,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28130,OVERIG HUISHOUDELIJK ASSORTIMENT,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28150,VOEDINGSGEBONDEN OTC,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28155,"ARTIKELEN TEGEN AANDOENINGEN,  PREPARATEN",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28160,GEDRAGSBEINVLOEDENDE ARTIKELEN,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28165,"TESTEN, DIAGNOSTISCHE PRODUCTEN, MEETAPPARATUUR",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_28195,OVERIG ASSORTIMENT,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_29105,STERK ALCOHOLISCHE DRANKEN,cwa_module.afdeling_06,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_40000,WINKELMATERIAAL,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_41000,STYLINGMATERIAAL,cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_42000,"KASSABENODIGDHEDEN, PRIJSBENODIGDHEDEN",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_43000,"SCHOON- EN HYGIËNE ARTIKELEN",cwa_module.afdeling_07,"voedselcoop_7307","voedselcoop_8007"
cwa_module.cbl_1010505,KOFFIE,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010506,KOFFIEPADS,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010510,OPLOSKOFFIE,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010512,NEW INSTANT OPLOSKOFFIE,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010515,KOFFIESTROOP,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010520,CACAO,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010525,ANIJSBLOKJES,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1010530,THEE,cwa_module.cbl_10105,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1011005,"KOFFIEMELK, KOFFIEROOM",cwa_module.cbl_10110,"voedselcoop_7306","voedselcoop_8006"
cwa_module.cbl_1011010,"KOFFIECREAMER, MELKPOEDER",cwa_module.cbl_10110,"voedselcoop_7306","voedselcoop_8006"
